Fecha    Smujeres             Shombres            Suicidios   St femenina               Stmasculina                 Sx100.000
2020     1.424                6.386               7.896       2,2                        10,2                        6,1
2019     1.300                5.831               7.223       2                          9,4                         5,6
2018     1.253                5.454               6.808       2                          8,9                         5,4
2017     1.213                5.279               6.559       1,9                        8,7                         5,2
2016     1.173                5.116               6.370       1,9                        8,5                         5,1
2015     1.251                5.031               6.425       2                          8,5                         5,2
2014     1.231                4.984               6.337       2                          8,5                         5,2
2013     1.050                4.701               5.909       1,7                        8,1                         4,9
2012     1.052                4.357               5.549       1,8                        7,6                         4,6
2011     1.076                4.526               5.718       1,8                        8                           4,9
2010     903                  3.996               5.012       1,6                        7,2                         4,3
2009     972                  4.087               5.190       1,7                        7,5                         4,5
2008     861                  3.807               4.681       1,5                        7                           4,2
2007     762                  3.546               4.394       1,4                        6,7                         4
2006     713                  3.553               4.277       1,3                        6,8                         4
2005     735                  3.571               4.314       1,4                        6,9                         4,1
2004     678                  3.414               4.117       1,3                        6,7                         3,9
2003     698                  3.390               4.104       1,3                        6,7                         4
2002     657                  3.189               3.871       1,3                        6,4                         3,8
2001     674                  3.110               3.811       1,3                        6,3                         3,8
2000     538                  2.937               3.475       1,1                        6,1                         3,5
1999     509                  2.830               3.339       1                          5,9                         3,4
1998     514                  2.827               3.342       1,1                        6                           3,5
1997     541                  2.828               3.370       1,1                        6,1                         3,6
1996     495                  2.523               3.020       1                          5,5                         3,2
1995     443                  2.449               2.894       1                          5,4                         3,1
1994     393                  2.210               2.603       0,9                        5                           2,9
1993     331                  2.027               2.358       0,7                        4,6                         2,7
1992     343                  1.903               2.246       0,8                        4,4                         2,6
1991     315                  1.799               2.114       0,7                        4,2                         2,5
1990     281                  1.657               1.938       0,7                        4                           2,3
1989     290                  1.586               1.876       0,7                        3,9                         2,3
1988     280                  1.436               1.716       0,7                        3,6                         2,1
1987     290                  1.433               1.723       0,7                        3,6                         2,2
1986     271                  1.457               1.728       0,7                        3,8                         2,2
1985     269                  1.297               1.566       0,7                        3,4                         2,1
1984     146                  778                 924         0,4                        2,1                         1,2
1983     210                  831                 1.041       0,6                        2,3                         1,4
1982     259                  924                 1.183       0,7                        2,6                         1,7
1981     263                  927                 1.190       0,8                        2,7                         1,7
1980     197                  779                 976         0,6                        2,3                         1,4
1979     227                  887                 1.114       0,7                        2,7                         1,7
1973     72                    297                 369         0,3                        1,1                         0,7
1972     70                    297                 367         0,3                        1,1                         0,7
1971     69                    289                 358         0,3                        1,1                         0,7
1970     109                  445                 554         0,4                        1,8                         1,1
1969     57                    283                 340         0,2                        1,1                         0,7
